B01001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,state,county,tract,block group,GEOID
2045,134,122,80,60,14,70,06,007,002602,2,060070026022
711,10,18,28,8,0,0,06,007,002602,3,060070026023
554,0,0,17,29,0,14,06,007,002700,1,060070027001
1266,32,6,58,35,12,0,06,007,002700,2,060070027002
447,0,0,27,0,0,0,06,007,002700,3,060070027003
1199,18,0,0,0,33,0,06,007,002700,4,060070027004
1159,0,22,48,0,35,0,06,007,002700,5,060070027005
1280,0,17,41,0,0,21,06,007,002700,6,060070027006
833,0,0,0,11,16,0,06,007,002800,1,060070028001
510,0,0,10,28,24,0,06,007,002800,2,060070028002
1892,20,20,17,11,23,10,06,007,002800,3,060070028003
606,0,0,25,24,0,11,06,007,002800,4,060070028004
880,20,90,19,39,0,0,06,007,002800,5,060070028005
1557,0,5,14,43,11,5,06,007,002900,1,060070029001
1432,29,34,6,24,6,0,06,007,002900,2,060070029002
643,30,17,18,26,0,0,06,007,003001,1,060070030011
549,0,32,0,0,0,0,06,007,003001,2,060070030012
286,0,0,47,0,0,0,06,007,003001,3,060070030013
719,0,0,10,0,0,0,06,007,003001,4,060070030014
493,9,12,6,9,8,0,06,007,003002,1,060070030021
552,0,13,0,0,17,0,06,007,003002,2,060070030022
972,64,0,9,9,0,5,06,007,003002,3,060070030023
626,0,23,18,0,0,0,06,007,003002,4,060070030024
1119,18,35,46,32,18,9,06,007,003100,1,060070031001
975,0,9,0,13,6,38,06,007,003100,2,060070031002
1021,0,10,8,0,0,19,06,007,003100,3,060070031003
1810,10,78,40,19,10,28,06,007,003100,4,060070031004
1103,8,29,54,7,0,0,06,007,003200,1,060070032001
1448,0,15,15,9,35,34,06,007,003200,2,060070032002
1558,16,21,51,38,21,6,06,007,003200,3,060070032003
1477,12,29,95,20,11,33,06,007,003300,1,060070033001
809,34,22,35,61,0,4,06,007,003300,2,060070033002
1809,36,76,77,15,38,0,06,007,003300,3,060070033003
1500,0,24,54,9,40,10,06,007,003400,1,060070034001
2025,4,17,18,12,7,0,06,007,003400,2,060070034002
942,11,33,13,30,0,0,06,007,003501,1,060070035011
1887,0,0,23,23,0,13,06,007,003501,2,060070035012
555,33,0,6,0,0,12,06,007,003501,3,060070035013
988,0,35,11,0,13,13,06,007,003501,4,060070035014
1040,40,36,0,40,28,0,06,007,003502,1,060070035021
910,0,0,0,26,0,0,06,007,003502,2,060070035022
1494,0,15,0,0,0,21,06,007,003502,3,060070035023
877,0,13,61,0,18,0,06,007,003502,4,060070035024
1378,0,6,4,11,8,0,06,007,003600,1,060070036001
1492,9,15,9,41,21,19,06,007,003600,2,060070036002
1334,17,23,28,30,51,11,06,007,003600,3,060070036003
1628,11,10,59,33,0,39,06,007,003700,1,060070037001
844,7,11,21,44,0,8,06,007,003700,2,060070037002
1349,0,29,11,51,0,10,06,007,003700,3,060070037003
1281,10,14,11,20,0,0,06,007,003700,4,060070037004
